Dyad,Node,Baby Strength,Parent Strength,Difference (Baby - Parent)
dyad11,S1,6.745,10.258,-3.513
dyad11,S10,8.059,8.27,-0.211
dyad11,S11,9.579,8.879,0.7
dyad11,S12,9.176,9.358,-0.182
dyad11,S13,7.257,9.303,-2.046
dyad11,S14,9.886,9.734,0.152
dyad11,S15,8.72,5.768,2.952
dyad11,S16,4.835,7.499,-2.664
dyad11,S17,7.567,6.353,1.214
dyad11,S18,8.738,4.684,4.054
dyad11,S2,7.852,7.508,0.344
dyad11,S3,7.21,6.163,1.047
dyad11,S4,6.078,8.896,-2.818
dyad11,S5,10.129,7.099,3.03
dyad11,S6,7.982,7.103,0.879
dyad11,S7,8.943,4.427,4.516
dyad11,S8,5.846,7.642,-1.796
dyad11,S9,8.956,1.346,7.61
dyad13,S1,3.067,9.251,-6.184
dyad13,S10,4.026,1.345,2.681
dyad13,S11,4.982,8.691,-3.709
dyad13,S12,5.363,7.946,-2.583
dyad13,S13,4.77,7.175,-2.405
dyad13,S14,3.707,6.857,-3.15
dyad13,S15,4.891,7.934,-3.043
dyad13,S16,3.008,1.499,1.509
dyad13,S17,7.268,8.536,-1.268
dyad13,S18,4.408,8.61,-4.202
dyad13,S2,3.814,6.175,-2.361
dyad13,S3,4.675,7.865,-3.19
dyad13,S4,7.243,9.594,-2.351
dyad13,S5,5.538,5.916,-0.378
dyad13,S6,4.954,6.145,-1.191
dyad13,S7,3.185,6.659,-3.474
dyad13,S8,6.325,8.926,-2.601
dyad13,S9,5.514,6.49,-0.976
dyad19,S1,4.611,2.316,2.295
dyad19,S10,5.055,4.417,0.638
dyad19,S11,4.021,8.183,-4.162
dyad19,S12,4.377,8.468,-4.091
dyad19,S13,4.479,6.741,-2.262
dyad19,S14,1.454,8.547,-7.093
dyad19,S15,4.72,10.084,-5.364
dyad19,S16,1.308,9.785,-8.477
dyad19,S17,2.417,8.448,-6.031
dyad19,S18,2.9,7.904,-5.004
dyad19,S2,4.916,2.509,2.407
dyad19,S3,4.604,7.763,-3.159
dyad19,S4,2.924,4.258,-1.334
dyad19,S5,3.975,9.038,-5.063
dyad19,S6,3.429,9.03,-5.601
dyad19,S7,3.367,4.108,-0.741
dyad19,S8,4.487,7.457,-2.97
dyad19,S9,3.266,7.391,-4.125
dyad21,S1,5.832,3.454,2.378
dyad21,S10,6.138,1.348,4.79
dyad21,S11,6.528,1.0,5.528
dyad21,S12,6.615,2.473,4.142
dyad21,S13,7.214,1.0,6.214
dyad21,S14,4.016,1.0,3.016
dyad21,S15,3.641,1.0,2.641
dyad21,S16,4.649,1.0,3.649
dyad21,S17,5.92,1.0,4.92
dyad21,S18,5.99,1.0,4.99
dyad21,S2,7.851,3.629,4.222
dyad21,S3,5.487,3.352,2.135
dyad21,S4,6.058,2.395,3.663
dyad21,S5,5.267,1.307,3.96
dyad21,S6,5.579,1.0,4.579
dyad21,S7,5.824,1.0,4.824
dyad21,S8,6.147,1.0,5.147
dyad21,S9,6.639,1.0,5.639
dyad22,S1,6.876,5.512,1.364
dyad22,S10,7.356,5.731,1.625
dyad22,S11,4.05,6.262,-2.212
dyad22,S12,7.208,5.251,1.957
dyad22,S13,4.051,4.958,-0.907
dyad22,S14,6.21,4.518,1.692
dyad22,S15,5.334,6.641,-1.307
dyad22,S16,7.229,6.233,0.996
dyad22,S17,5.756,1.0,4.756
dyad22,S18,7.451,4.063,3.388
dyad22,S2,6.21,1.395,4.815
dyad22,S3,4.905,1.0,3.905
dyad22,S4,5.947,1.0,4.947
dyad22,S5,3.436,1.0,2.436
dyad22,S6,5.548,2.588,2.96
dyad22,S7,5.424,1.984,3.44
dyad22,S8,6.678,6.153,0.525
dyad22,S9,1.806,2.27,-0.464
dyad24,S1,4.004,9.081,-5.077
dyad24,S10,3.902,9.387,-5.485
dyad24,S11,4.293,8.868,-4.575
dyad24,S12,4.55,8.653,-4.103
dyad24,S13,4.015,10.483,-6.468
dyad24,S14,4.091,11.047,-6.956
dyad24,S15,2.819,9.038,-6.219
dyad24,S16,3.331,3.658,-0.327
dyad24,S17,2.596,9.022,-6.426
dyad24,S18,3.907,8.979,-5.072
dyad24,S2,1.335,9.317,-7.982
dyad24,S3,4.06,8.751,-4.691
dyad24,S4,4.08,9.361,-5.281
dyad24,S5,4.576,4.924,-0.348
dyad24,S6,5.163,6.363,-1.2
dyad24,S7,5.043,5.694,-0.651
dyad24,S8,5.585,8.976,-3.391
dyad24,S9,4.684,7.949,-3.265
dyad25,S1,6.761,5.289,1.472
dyad25,S10,4.442,3.115,1.327
dyad25,S11,6.348,3.337,3.011
dyad25,S12,6.758,5.941,0.817
dyad25,S13,6.185,4.107,2.078
dyad25,S14,6.739,5.921,0.818
dyad25,S15,5.687,6.508,-0.821
dyad25,S16,6.04,7.503,-1.463
dyad25,S17,8.364,5.074,3.29
dyad25,S18,8.38,6.431,1.949
dyad25,S2,6.07,1.71,4.36
dyad25,S3,3.904,5.108,-1.204
dyad25,S4,6.6,3.822,2.778
dyad25,S5,5.568,5.037,0.531
dyad25,S6,7.839,7.415,0.424
dyad25,S7,4.05,6.145,-2.095
dyad25,S8,6.728,6.594,0.134
dyad25,S9,4.307,7.445,-3.138
dyad31,S1,5.372,5.917,-0.545
dyad31,S10,6.59,4.531,2.059
dyad31,S11,7.547,8.678,-1.131
dyad31,S12,5.323,5.56,-0.237
dyad31,S13,5.67,6.005,-0.335
dyad31,S14,4.896,5.37,-0.474
dyad31,S15,5.706,4.292,1.414
dyad31,S16,1.825,5.946,-4.121
dyad31,S17,6.158,6.43,-0.272
dyad31,S18,6.1,5.26,0.84
dyad31,S2,3.742,8.811,-5.069
dyad31,S3,2.165,6.957,-4.792
dyad31,S4,3.879,5.38,-1.501
dyad31,S5,4.316,6.797,-2.481
dyad31,S6,3.255,6.355,-3.1
dyad31,S7,5.173,6.042,-0.869
dyad31,S8,4.527,8.516,-3.989
dyad31,S9,2.808,7.487,-4.679
dyad34,S1,4.811,2.446,2.365
dyad34,S10,3.31,1.39,1.92
dyad34,S11,5.499,1.0,4.499
dyad34,S12,5.669,1.0,4.669
dyad34,S13,5.381,1.0,4.381
dyad34,S14,7.091,1.0,6.091
dyad34,S15,4.102,1.0,3.102
dyad34,S16,5.375,1.0,4.375
dyad34,S17,6.275,1.0,5.275
dyad34,S18,4.883,1.0,3.883
dyad34,S2,6.425,2.931,3.494
dyad34,S3,2.605,2.59,0.015
dyad34,S4,5.744,1.0,4.744
dyad34,S5,8.442,1.0,7.442
dyad34,S6,5.315,1.0,4.315
dyad34,S7,5.5,1.0,4.5
dyad34,S8,6.407,1.0,5.407
dyad34,S9,5.17,1.0,4.17
