Dyad,Condition,Role,Mean Degree,Mean Clustering Coefficient,Global Efficiency,Modularity,Small-Worldness
dyad11,elicit,baby,15.889,0.869,0.908,0.12,0.735
dyad11,free,baby,14.667,0.827,0.873,0.142,0.659
dyad11,instruct,baby,10.444,0.596,0.748,0.279,0.397
dyad11,elicit,perant,13.667,0.809,0.841,0.172,0.61
dyad11,free,perant,12.778,0.764,0.817,0.254,0.559
dyad11,instruct,perant,17.889,0.94,0.967,0.066,0.882
dyad13,elicit,baby,10.333,0.626,0.74,0.296,0.406
dyad13,free,baby,10.444,0.74,0.741,0.29,0.478
dyad13,instruct,baby,11.889,0.715,0.789,0.215,0.5
dyad13,elicit,perant,12.333,0.709,0.79,0.18,0.48
dyad13,free,perant,10.444,0.815,0.721,0.33,0.489
dyad13,instruct,perant,11.889,0.763,0.791,0.294,0.538
dyad19,elicit,baby,8.0,0.482,0.656,0.364,0.272
dyad19,free,baby,8.444,0.503,0.672,0.345,0.292
dyad19,instruct,baby,10.556,0.665,0.747,0.269,0.436
dyad19,elicit,perant,13.556,0.803,0.839,0.139,0.605
dyad19,free,perant,11.0,0.641,0.752,0.223,0.414
dyad19,instruct,perant,11.333,0.687,0.767,0.22,0.459
dyad21,elicit,baby,11.0,0.703,0.763,0.305,0.474
dyad21,free,baby,13.333,0.841,0.833,0.242,0.631
dyad21,instruct,baby,12.0,0.744,0.79,0.278,0.518
dyad21,elicit,perant,3.222,0.213,0.103,0.626,
dyad21,free,perant,3.444,0.256,0.109,0.621,
dyad21,instruct,perant,2.667,0.148,0.051,0.781,
dyad22,elicit,baby,10.778,0.666,0.751,0.264,0.436
dyad22,free,baby,11.0,0.603,0.765,0.27,0.41
dyad22,instruct,baby,11.0,0.666,0.757,0.218,0.439
dyad22,elicit,perant,7.444,0.613,0.451,0.319,
dyad22,free,perant,7.222,0.512,0.422,0.295,
dyad22,instruct,perant,7.889,0.526,0.422,0.256,
dyad24,elicit,baby,8.0,0.642,0.624,0.444,0.32
dyad24,free,baby,11.333,0.673,0.775,0.257,0.464
dyad24,instruct,baby,11.0,0.733,0.708,0.273,
dyad24,elicit,perant,16.111,0.888,0.915,0.106,0.759
