Dyad,Condition,Role,Node,Strength
dyad11,elicit,baby,S1,6.745
dyad11,elicit,baby,S2,7.852
dyad11,elicit,baby,S3,7.21
dyad11,elicit,baby,S4,6.078
dyad11,elicit,baby,S5,10.129
dyad11,elicit,baby,S6,7.982
dyad11,elicit,baby,S7,8.943
dyad11,elicit,baby,S8,5.846
dyad11,elicit,baby,S9,8.956
dyad11,elicit,baby,S10,8.059
dyad11,elicit,baby,S11,9.579
dyad11,elicit,baby,S12,9.176
dyad11,elicit,baby,S13,7.257
dyad11,elicit,baby,S14,9.886
dyad11,elicit,baby,S15,8.72
dyad11,elicit,baby,S16,4.835
dyad11,elicit,baby,S17,7.567
dyad11,elicit,baby,S18,8.738
dyad11,elicit,perant,S1,10.258
dyad11,elicit,perant,S2,7.508
dyad11,elicit,perant,S3,6.163
dyad11,elicit,perant,S4,8.896
dyad11,elicit,perant,S5,7.099
dyad11,elicit,perant,S6,7.103
dyad11,elicit,perant,S7,4.427
dyad11,elicit,perant,S8,7.642
dyad11,elicit,perant,S9,1.346
dyad11,elicit,perant,S10,8.27
dyad11,elicit,perant,S11,8.879
dyad11,elicit,perant,S12,9.358
dyad11,elicit,perant,S13,9.303
dyad11,elicit,perant,S14,9.734
dyad11,elicit,perant,S15,5.768
dyad11,elicit,perant,S16,7.499
dyad11,elicit,perant,S17,6.353
dyad11,elicit,perant,S18,4.684
dyad11,free,baby,S1,4.079
dyad11,free,baby,S2,9.288
dyad11,free,baby,S3,3.528
dyad11,free,baby,S4,7.964
dyad11,free,baby,S5,9.757
dyad11,free,baby,S6,8.256
dyad11,free,baby,S7,7.931
dyad11,free,baby,S8,9.092
dyad11,free,baby,S9,8.971
dyad11,free,baby,S10,9.089
dyad11,free,baby,S11,8.947
dyad11,free,baby,S12,5.246
dyad11,free,baby,S13,7.261
dyad11,free,baby,S14,9.016
dyad11,free,baby,S15,5.201
dyad11,free,baby,S16,6.267
dyad11,free,baby,S17,6.72
dyad11,free,baby,S18,7.471
dyad11,free,perant,S1,4.957
dyad11,free,perant,S2,7.156
dyad11,free,perant,S3,7.748
dyad11,free,perant,S4,7.775
dyad11,free,perant,S5,4.977
dyad11,free,perant,S6,7.86
dyad11,free,perant,S7,6.434
dyad11,free,perant,S8,7.201
dyad11,free,perant,S9,5.621
dyad11,free,perant,S10,5.016
dyad11,free,perant,S11,6.129
dyad11,free,perant,S12,6.504
dyad11,free,perant,S13,7.821
dyad11,free,perant,S14,7.197
dyad11,free,perant,S15,7.072
dyad11,free,perant,S16,7.035
dyad11,free,perant,S17,5.508
dyad11,free,perant,S18,7.071
dyad11,instruct,baby,S1,5.428
dyad11,instruct,baby,S2,4.87
dyad11,instruct,baby,S3,4.653
dyad11,instruct,baby,S4,5.078
