0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-6.542106178037092e-07,-5.469498156034915e-07,-3.953982011697038e-07,1.8923178048115014e-07,-2.660520491402246e-06,-3.103689082555453e-06,1.8205285269938467e-06,-1.2515121325678307e-05,4.529582625114087e-06,-1.5054752280661255e-06,-8.637968486495712e-07,-6.636184504474522e-06,7.235674063785218e-06,1.0045903651271325e-05,6.051789940846206e-06,2.713252177090385e-06,-3.0189230654859734e-06,-3.005985988248976e-06
-5.259661769325756e-07,-4.586189476207093e-07,-2.644425442020917e-07,2.0729103237295807e-07,-2.088038751342234e-06,-1.0010336478620284e-06,-1.4889478739286596e-06,-1.4481033596055273e-05,4.674445435688563e-06,-1.3166952796118769e-06,-1.22419034915713e-06,-1.0390635203902902e-05,4.249027904325961e-06,7.905297355574045e-06,3.916467423827304e-06,3.7688060447018893e-07,-1.0050076452228343e-06,-6.842820805492837e-06
-4.1862515255697946e-07,-3.6049324203808877e-07,-1.350398124853955e-07,2.1489421269072717e-07,-2.7740110487551624e-06,1.1727016377515384e-06,-5.37713034746341e-06,-1.4384666628999404e-05,4.564382525459539e-06,-1.103571553011613e-06,-1.4664414489760056e-06,-1.2031893500788118e-05,6.616051856678802e-07,5.7133808473348185e-06,1.5467420217347475e-06,-7.769658829614409e-07,1.1520199443682311e-06,-1.0345897283284713e-05
-3.2844663927002705e-07,-2.5601235513768456e-07,-5.658342297414e-09,2.090550217634653e-07,-4.4457053724418014e-06,3.0460549315561064e-06,-8.60384720241919e-06,-1.2272488599568465e-05,4.294318016118193e-06,-8.73156821693992e-07,-1.5039232379138556e-06,-1.1154150936666466e-05,-2.8463347519907233e-06,3.5146291560116133e-06,-7.811315607972479e-07,-7.600083157685902e-07,2.8077472921419863e-06,-1.2654716252854962e-05
-2.481060648184151e-07,-1.5147561861579847e-07,1.1926997984194991e-07,1.87720472136529e-07,-6.176577103431827e-06,4.394923418154616e-06,-1.040078053257585e-05,-8.773982820914185e-06,3.931631578417067e-06,-6.352775102413188e-07,-1.3113581308634798e-06,-8.159205504763928e-06,-5.5978319223738325e-06,1.2185850189385516e-06,-2.5747085478698366e-06,5.508344189275587e-08,3.5030493669240247e-06,-1.3119332636275359e-05
-1.6799775651325817e-07,-5.535138146166563e-08,2.2771109574565355e-07,1.5027966734813293e-07,-6.9187013347003805e-06,5.185713924909176e-06,-1.0402946714459207e-05,-4.768032577103565e-06,3.4587630600081604e-06,-4.020073805769508e-07,-9.189826082611502e-07,-4.136099873403582e-06,-7.124946784649906e-06,-1.2782947424672682e-06,-3.277732952054571e-06,1.1702829109509149e-06,3.073864336414583e-06,-1.1042925252068829e-05
-8.065950868593503e-08,2.514256090273404e-08,3.098689787198947e-07,9.163661314586012e-08,-6.062626460822151e-06,5.4723644614235834e-06,-8.729460142546999e-06,-1.0270619059931149e-06,2.7685256626434405e-06,-1.8532549178018954e-07,-3.804627223490194e-07,-3.4014775411428734e-07,-7.25723346844138e-06,-3.975443523931862e-06,-2.564950057888328e-06,2.113765993534466e-06,1.6490541787214557e-06,-8.457461748613353e-06
1.8588036850444616e-08,8.659351687553701e-08,3.562138099057175e-07,1.969966951087449e-08,-3.6644186973038294e-06,5.294917917939385e-06,-5.925251829009011e-06,2.0285486101995526e-06,1.7573723236636558e-06,8.417587530458248e-09,2.3985886314819454e-07,2.4024161618594857e-06,-6.1123038204545405e-06,-6.664656253708616e-06,-6.045992933618508e-07,2.493070783237383e-06,-4.254527106172949e-07,-4.877215037283752e-06
1.285227435936219e-07,1.2937922076155397e-07,3.614505483879982e-07,-5.96137038875562e-08,-2.8206518285881404e-07,4.61512482240634e-06,-2.2869226006942383e-06,4.3549615473623516e-06,4.2668848133039633e-07,1.7720100634022827e-07,8.533786657200756e-07,4.004068151814772e-06,-4.028763510997737e-06,-8.88235472112271e-06,1.8753125527612644e-06,2.052201412858355e-06,-2.691200666997429e-06,4.841083145357657e-07
2.386245555940808e-07,1.569604448606911e-07,3.1997217850714656e-07,-1.3811803515612547e-07,3.1017308741424145e-06,3.3475404935409474e-06,1.5735678536258902e-06,6.122477884835941e-06,-1.1199459485798316e-06,3.2441972082210506e-07,1.351474906904209e-06,4.951685736592183e-06,-1.4632715448419738e-06,-9.992631293521026e-06,3.81940752627503e-06,7.886535392341033e-07,-4.6645575960956666e-06,6.23181010387651e-06
