0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-1.1431182988060593e-07,-1.3303535843335495e-08,-2.5482193441365386e-07,-1.4999035290127428e-07,-2.2718317833456434e-07,-3.180854761303566e-07,-1.5485218262102112e-07,4.2126838457565966e-08,-1.1653147705570742e-07,-1.190437684871688e-07,-1.1224659561371587e-07,-1.5581474715154275e-07,1.2120327335688562e-07,2.0077456845549643e-07,3.809254302160771e-08,2.7599234555048884e-07,-4.6889476928166935e-08,-1.097868050182279e-07
-8.266238569968182e-08,3.2037680188462676e-08,-1.944323407562976e-07,-1.3109681788019222e-07,-1.5182637604480888e-07,-2.0941029155166588e-07,-1.394330104489682e-07,5.032148457820658e-08,-7.375131148937924e-08,-9.24813173945255e-08,-1.0358793026132554e-07,-1.4022414534171355e-07,1.3285186484108025e-07,2.3349094311524501e-07,5.541168379869109e-08,3.126674678998726e-07,-2.084973100278814e-08,-7.937876739691928e-08
-5.6703687983993416e-08,6.863277249287052e-08,-1.5381124503197786e-07,-1.3619433289977326e-07,-9.61002224813814e-08,-1.4275585542726156e-07,-1.3099074967831118e-07,4.546072158489473e-08,-3.3450639515989403e-08,-6.842532977604649e-08,-9.406406989022602e-08,-1.265658807948762e-07,1.4661924656819263e-07,2.51489003364517e-07,6.8738573782868e-08,3.1886411344671695e-07,2.25356541466423e-09,-5.396668262391569e-08
-3.6025536458148414e-08,9.07432788253721e-08,-1.2241119191842798e-07,-1.1921159387538542e-07,-5.288705247767427e-08,-1.0939295682681854e-07,-1.204508249284474e-07,3.4419390520388e-08,2.081750894560123e-09,-4.554599210729112e-08,-7.98308021861404e-08,-1.0266085595379274e-07,1.5778510751814027e-07,2.525748258364091e-07,7.58442960753128e-08,2.922185696933271e-07,2.0278188990209406e-08,-3.15680043921987e-08
-1.889352678276354e-08,9.616311891560002e-08,-9.403018013734285e-08,-9.142649012850797e-08,-1.631973866997211e-08,-8.174099451224256e-08,-1.0236586328233547e-07,2.3371635714338544e-08,3.010081823581739e-08,-2.3203929673655687e-08,-6.136446258206961e-08,-6.894563940701347e-08,1.6087945444519422e-07,2.363447356178558e-07,7.46692478264799e-08,2.3528930829224642e-07,3.1556643885021155e-08,-1.1080516197419276e-08
-4.367832398783855e-09,8.523279893505504e-08,-6.047526808471773e-08,-6.006941342825199e-08,1.5053511188995427e-08,-5.2394336432725006e-08,-7.667345928422319e-08,1.4557909008670895e-08,4.671724224232519e-08,-2.9287287431338e-09,-4.0360234674447305e-08,-2.9648912007664247e-08,1.504520919400914e-07,2.0182105890662377e-07,6.483167056691914e-08,1.5371055345810158e-07,3.479895329820361e-08,6.638150186098642e-09
7.1965711502199304e-09,6.040552609182464e-08,-2.4792046376349347e-08,-2.070981820992643e-08,3.929181820562464e-08,-1.2492858118408793e-08,-4.695042972147244e-08,7.057769054737299e-09,4.926813269133628e-08,1.265109947057462e-08,-1.977771547868161e-08,1.2040759006779434e-08,1.2362091957146292e-07,1.4903288830818007e-07,4.691688833839383e-08,5.714728006285724e-08,3.0518555492131566e-08,2.0488776029511714e-08
1.574879644137462e-08,2.752484166914402e-08,9.103591937161725e-09,1.196555101378263e-08,5.5541236679071836e-08,2.9511988103685187e-08,-1.6222785705968358e-08,8.040356730525715e-10,3.961862388821842e-08,2.3076925670314116e-08,-8.121555435838644e-10,5.2679855985044495e-08,8.247285002190127e-08,8.236557490107177e-08,2.4281451882708227e-08,-4.09094767065993e-08,2.214785098338179e-08,3.138140950819294e-08
2.357915184468772e-08,-4.0233552969867975e-09,4.04586346761256e-08,3.998452705248309e-08,6.738986510827377e-08,6.903616125229095e-08,1.5835517896417885e-08,-9.548391964566355e-10,2.504579060661182e-08,3.145403495418235e-08,1.8346518546957104e-08,8.95325952372223e-08,3.366637600512967e-08,1.1167798799711724e-08,2.805040993619904e-09,-1.25351572130408e-07,1.4968853540636327e-08,4.1951935849138016e-08
3.4242970339588e-08,-2.48270485145123e-08,6.98373938784906e-08,6.857711987917994e-08,8.063716532586129e-08,1.0800520069685398e-07,5.1559669785313716e-08,5.682775701444385e-09,1.4730429815479972e-08,4.21758986336822e-08,4.051669876193969e-08,1.1917061837823874e-07,-1.510448230292366e-08,-5.4250514907580144e-08,-1.2406480279178651e-08,-1.8395843049485807e-07,1.2873054280255508e-08,5.365692510687378e-08
4.910259076638621e-08,-3.151531154175951e-08,9.79165673716228e-08,9.560573311320995e-08,9.708037968083345e-08,1.4428586515313745e-07,9.084382999508081e-08,1.9243429872587035e-08,1.3831480464644947e-08,5.638448527227154e-08,6.558921536374719e-08,1.361246017896698e-07,-5.9575508020338e-08,-1.08958998788543e-07,-2.0971135039675893e-08,-2.1350519886987018e-07,1.507261785823958e-08,6.397310529809633e-08
6.415561304842396e-08,-3.015670445651191e-08,1.233373165373138e-07,1.1655929431995882e-07,1.0975826312678787e-07,1.6939484606507785e-07,1.2759377549897126e-07,2.9336166830282327e-08,1.960451363052491e-08,6.90428516380361e-08,8.818290062955123e-08,1.336279848949791e-07,-1.0135244907428096e-07,-1.5728243361698963e-07,-2.8458275203592225e-08,-2.199852073194042e-07,1.5821947278672408e-08,6.639324532131188e-08
7.034045395200281e-08,-3.3970349787159604e-08,1.421765704332001e-07,1.2540968066251202e-07,1.0459450920862748e-07,1.71195201292059e-07,1.5082386762765244e-07,2.0210840478878094e-08,2.2798247502182435e-08,7.085043773849078e-08,9.966630580482745e-08,1.0680832726490173e-07,-1.4639189045863642e-07,-2.1027195399073217e-07,-4.338708277028517e-08,-2.156010775386851e-07,7.707043909066396e-09,5.40628972042905e-08
5.782201647070508e-08,-5.609145966830859e-08,1.49890821932365e-07,1.159085444438594e-07,6.859254721776577e-08,1.4154905290907072e-07,1.504154587633963e-07,-2.0057205826847207e-08,1.4017794099979396e-08,5.422554267017284e-08,9.357615163023553e-08,5.661829973831289e-08,-2.0007363321092554e-07,-2.7777477716715787e-07,-7.18607189905734e-08,-2.1201775839828567e-07,-1.3548093151206836e-08,2.464908491258243e-08
2.2263092494783584e-08,-1.0169828524958947e-07,1.4436280776080507e-07,8.776126277098237e-08,-9.618280808041808e-10,8.311494833876163e-08,1.23543356995066e-07,-9.137676655482213e-08,-9.980866361897175e-09,1.8872086496822205e-08,7.001360271206615e-08,-8.375539107208739e-09,-2.621036645933794e-07,-3.6084443008976016e-07,-1.1346518106718391e-07,-2.142384717852816e-07,-4.58154823081149e-08,-1.700402961200429e-08
-3.1486457304194874e-08,-1.651539667601657e-07,1.2769050219168262e-07,4.692710606734319e-08,-9.266089965263615e-08,1.0179505188542182e-08,7.732382910884964e-08,-1.8020418589691972e-07,-4.410052964870752e-08,-2.7104296362724804e-08,3.6152572780865786e-08,-7.436732253133564e-08,-3.249495566075941e-07,-4.4967828874434764e-07,-1.6104252293611123e-07,-2.203224451602178e-07,-8.089449154020513e-08,-6.04107241754111e-08
-9.098171230504108e-08,-2.3334538677648892e-07,1.0554230667518969e-07,3.2592114269000136e-09,-1.8490467204530263e-07,-5.7133444833030284e-08,2.604293353517986e-08,-2.6562480110049635e-07,-7.785696920619891e-08,-7.11574734230298e-08,2.3811900284179365e-09,-1.2814554138126776e-07,-3.771435993296275e-07,-5.280982125053046e-07,-2.0454059316027948e-07,-2.2425904724776096e-07,-1.0847333606016017e-07,-9.451769378530457e-08
-1.4208781437800384e-07,-2.929075290368082e-07,8.42496854429176e-08,-3.367229497815483e-08,-2.560730766631368e-07,-1.0230974198549812e-07,-1.5608993670720623e-08,-3.295459134521504e-07,-1.0142686257966143e-07,-1.0308320787645168e-07,-2.3685511462898567e-08,-1.6329553083313517e-07,-4.096281790514085e-07,-5.821294610528618e-07,-2.36896453853158e-07,-2.2126837190511076e-07,-1.2175038640631227e-07,-1.1359551401266141e-07
-1.7648261614855117e-07,-3.373176811988498e-07,6.709447620235462e-08,-5.951879373876155e-08,-2.953015360054443e-07,-1.2096536327195445e-07,-3.9917125498992565e-08,-3.659541995943009e-07,-1.1146488642483845e-07,-1.210572624712914e-07,-4.16416899736545e-08,-1.8324549198397737e-07,-4.2147987958940816e-07,-6.08134450721729e-07,-2.58543347119043e-07,-2.1210188575974102e-07,-1.2151429809761042e-07,-1.2083944501139073e-07
-1.9626365853605795e-07,-3.7032814849383166e-07,5.193608327119767e-08,-7.763219733422257e-08,-3.082156953023086e-07,-1.2356689963020147e-07,-4.9951193702502214e-08,-3.8421510451605245e-07,-1.1337770313611308e-07,-1.333018160392354e-07,-5.87963348952295e-08,-1.9922490170448985e-07,-4.214948079005411e-07,-6.153166588609886e-07,-2.7746926670445474e-07,-2.0380085970860786e-07,-1.1614328476487208e-07,-1.271073560096756e-07
-2.1226485758441262e-07,-4.0335049072572205e-07,3.207208860803429e-08,-9.730160517859386e-08,-3.134417934198148e-07,-1.2974373041863664e-07,-5.70470815996926e-08,-4.0368316974239635e-07,-1.1843474523605485e-07,-1.5369525880194817e-07,-8.582384789907459e-08,-2.2420323034827186e-07,-4.2426398352261616e-07,-6.203976218860894e-07,-3.0441227897060655e-07,-2.057260084613584e-07,-1.1729219334872627e-07,-1.4535370438887444e-07
-2.37087320282116e-07,-4.480610151169434e-07,2.2459463888407663e-10,-1.283146938687299e-07,-3.315231702945271e-07,-1.5705318659467251e-07,-7.337753269710137e-08,-4.422865477397023e-07,-1.3713742496767627e-07,-1.9365427703086212e-07,-1.3014499544838347e-07,-2.662830273472475e-07,-4.4284881107802836e-07,-6.379347646743085e-07,-3.462187816874326e-07,-2.239168637986578e-07,-1.339169644240376e-07,-1.8359821809663836e-07
-2.7744015364415506e-07,-5.085921327983152e-07,-4.665224891046902e-08,-1.7510096843790634e-07,-3.7374605804492553e-07,-2.1133223751093474e-07,-1.0466119074449226e-07,-5.063725959152921e-07,-1.7341253649298255e-07,-2.554424080923932e-07,-1.9126807053450143e-07,-3.2498738799549844e-07,-4.824333179430724e-07,-6.72616823813668e-07,-4.0157991456436416e-07,-2.576556325868606e-07,-1.682175963917779e-07,-2.4065548673610125e-07
-3.30435274824402e-07,-5.784240868650065e-07,-1.0511686648318133e-07,-2.3399848222183952e-07,-4.37160369112605e-07,-2.841939968761766e-07,-1.474497086113211e-07,-5.87919029307743e-07,-2.2278574082258255e-07,-3.307395359729964e-07,-2.6053174796196786e-07,-3.9190620679916655e-07,-5.384017993247328e-07,-7.177313148816165e-07,-4.614937458325577e-07,-2.996852602104399e-07,-2.1531871477510917e-07,-3.070890814873786e-07
-3.8564995403257626e-07,-6.439032607050171e-07,-1.6621269761377412e-07,-2.95002751513015e-07,-5.076459285066116e-07,-3.5805203943315866e-07,-1.9185578846065267e-07,-6.698194438041373e-07,-2.750600978821007e-07,-4.0468390007381395e-07,-3.2497485522791313e-07,-4.547666082582133e-07,-5.995382137185428e-07,-7.6013823584328e-07,-5.138969677897834e-07,-3.4022122023865433e-07,-2.6637568174150983e-07,-3.7018678193771426e-07
-4.3113253650827425e-07,-6.92004472904208e-07,-2.1925003957461163e-07,-3.468068594279072e-07,-5.674995653775576e-07,-4.1520782592877043e-07,-2.2758580063993074e-07,-7.355047569504075e-07,-3.197620710888869e-07,-4.629069190200035e-07,-3.730057686586366e-07,-5.025091901332157e-07,-6.544641770382064e-07,-7.888701974766966e-07,-5.497552596779669e-07,-3.720589607373658e-07,-3.132518801210751e-07,-4.200340401706438e-07
-4.6012307137896576e-07,-7.179757407585307e-07,-2.563856905538805e-07,-3.822925077461823e-07,-6.046887934396675e-07,-4.461672672185485e-07,-2.4976568927504735e-07,-7.774144635028723e-07,-3.513810339713944e-07,-4.979054403300008e-07,-3.990221046723105e-07,-5.290989068855398e-07,-6.975899197627077e-07,-8.02113914582883e-07,-5.670961490774712e-07,-3.944592586786264e-07,-3.5206999068676597e-07,-4.5346700952289435e-07
-4.7465369579480986e-07,-7.283425942718348e-07,-2.75188131301435e-07,-4.0133289381891343e-07,-6.180068274835903e-07,-4.52750859092846e-07,-2.61029494396948e-07,-7.994044417991605e-07,-3.712184346774756e-07,-5.112930305669439e-07,-4.0446834444187284e-07,-5.348119206586727e-07,-7.307928244895956e-07,-8.07592520063261e-07,-5.705811944622565e-07,-4.119978557535436e-07,-3.835004363211991e-07,-4.7353107124421574e-07
-4.835248746417384e-07,-7.365542245111267e-07,-2.786454333257963e-07,-4.093549282846333e-07,-6.149633844591579e-07,-4.4431984493148617e-07,-2.684181768394807e-07,-8.117144054985126e-07,-3.846206389435041e-07,-5.107571051866692e-07,-3.9523254617558866e-07,-5.248709355531418e-07,-7.598885884392505e-07,-8.159619336189615e-07,-5.672238194578407e-07,-4.3051119422376493e-07,-4.0984111088054207e-07,-4.851681229111314e-07
-4.958288801286905e-07,-7.540060057589531e-07,-2.71645828477972e-07,-4.130363345133008e-07,-6.050718645365947e-07,-4.3018912009656583e-07,-2.775288595073766e-07,-8.225244886023222e-07,-3.959684856003678e-07,-5.042021322400284e-07,-3.7789580915672355e-07,-5.065807654181913e-07,-7.889411176730866e-07,-8.325259751666204e-07,-5.616119351985486e-07,-4.5273736028055406e-07,-4.3154733459384393e-07,-4.908527260728126e-07
-5.149476494851467e-07,-7.830219893067494e-07,-2.577197751485203e-07,-4.1640522911124323e-07,-5.93009392060117e-07,-4.141191028918805e-07,-2.886099394659516e-07,-8.326244353700064e-07,-4.0532431163242286e-07,-4.954706368646838e-07,-3.5719850844246903e-07,-4.867553664302046e-07,-8.168694989140685e-07,-8.536710718283292e-07,-5.539494391987706e-07,-4.766892428843718e-07,-4.460765915483545e-07,-4.89386514066267e-07
