0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2.699079691019776e-07,1.7627988509330703e-07,2.980665337213863e-07,1.1115279690120915e-07,1.4940793526913856e-07,-3.5405227307177366e-08,2.6273167162942494e-07,1.1709166598975715e-07,2.427144288640227e-07,2.530942151016544e-07,1.0965495690265528e-07,1.3845748843201537e-07,1.1738040847023117e-07,6.864725977750799e-08,2.0722446734135124e-07,-2.7889300865643067e-07,2.8690638115716317e-07,2.616843948892579e-07
2.5394973748246374e-07,1.4775558583303726e-07,3.1499799043072003e-07,1.5190070247081303e-07,1.1122141722005542e-07,1.8862156122018256e-08,3.2212920364252474e-07,1.0304454667556381e-07,2.615747698154906e-07,3.014966114546795e-07,1.2604511952146087e-07,1.6898083086967987e-07,1.6840881032471197e-07,9.821144196224342e-08,2.1776977569233138e-07,-2.2710879683023623e-07,2.3105610711984438e-07,2.3564410086087162e-07
2.2892371122081734e-07,1.2628972221532284e-07,2.927678059418962e-07,1.7736790888159495e-07,7.571198824815878e-08,6.8090111018292e-08,3.802888003438161e-07,9.286953836945944e-08,2.6608724201640816e-07,2.9425648576693153e-07,1.593268126733398e-07,1.9273881131820412e-07,1.945777704424503e-07,1.298596385718944e-07,2.1400082334416791e-07,-1.1251079010841635e-07,2.080710903285316e-07,2.137491752030988e-07
2.0270810183997138e-07,1.0721273792921658e-07,2.6350051499932874e-07,1.860059036492503e-07,4.629326017309753e-08,1.0743473738025594e-07,4.308406765009234e-07,8.656318992426925e-08,2.5713075870850624e-07,2.1435772096006008e-07,1.7775816945629072e-07,2.0347174371709564e-07,1.6448812591818285e-07,1.5428356124588652e-07,1.9775220855782921e-07,2.932076244074524e-08,2.0057665562216481e-07,1.8964956661245175e-07
2.0998971467186543e-07,8.731541397403381e-08,2.2081354131719056e-07,1.7910640203663814e-07,2.5494590345280566e-08,1.3309767705487507e-07,4.6468989619834537e-07,8.274936904248321e-08,2.3565015751251283e-07,1.7356138218486363e-07,1.9472300962772833e-07,1.977837555667401e-07,1.3706092443527292e-07,1.649318293762036e-07,1.7157434915507193e-07,1.408812322727896e-07,1.898569578670078e-07,1.6343960174444193e-07
2.2791634783515593e-07,7.021789744394976e-08,1.6081754319852635e-07,1.5792013760266764e-07,1.3592561910386542e-08,1.4300079103129809e-07,4.7003872973352713e-07,7.941178198722145e-08,2.0134698831314363e-07,1.9775110485769356e-07,1.8070969826271473e-07,1.748630880578749e-07,1.418627175234718e-07,1.584397855329938e-07,1.3743103575248425e-07,2.1112502648822166e-07,1.6745439497579163e-07,1.367333393536338e-07
2.3378769957588933e-07,5.64904858593178e-08,9.159237278910544e-08,1.2257142451903045e-07,7.165179326276892e-09,1.3717453015501192e-07,4.3442314181953186e-07,7.302760003345557e-08,1.5318494584609202e-07,1.9127650368176075e-07,1.3213865667707135e-07,1.3663444007697776e-07,1.3470373724557959e-07,1.3506031175256808e-07,9.684110629978709e-08,2.0964725607799434e-07,1.504303401647332e-07,1.0180871737600188e-07
1.7646660715773216e-07,4.270663866073843e-08,1.992842937629373e-08,7.37374520043302e-08,5.148254745015858e-09,1.1824003115650065e-07,3.4970250512491263e-07,6.133470482971843e-08,9.128817276888601e-08,1.5534010056271803e-07,7.693552248909827e-08,8.734491792036708e-08,1.1381005339380326e-07,9.852922370072805e-08,5.14855555899843e-08,1.8190764400553123e-07,9.937215792695322e-08,5.921522319442075e-08
8.21783811401143e-08,2.551892195244084e-08,-5.076529696412706e-08,1.4710556723775647e-08,5.460766674363028e-09,8.970610389457852e-08,2.1578483436617473e-07,4.335561472029989e-08,1.812076861925193e-08,7.48090009934104e-08,2.078226880159974e-08,3.138241985275036e-08,6.03018486338521e-08,5.212686362270984e-08,2.9745929004278536e-09,1.371223538933843e-07,1.4008619905731825e-08,8.816679464157663e-09
-2.747346457233038e-08,2.2161739191547293e-09,-1.1675421911617135e-07,-4.85284702589168e-08,4.480327929087907e-09,5.353629019296192e-08,4.15859052183627e-08,1.7111866312886048e-08,-6.165642180622361e-08,-3.6762613446006756e-08,-4.14991672074877e-08,-2.845035638302106e-08,-7.092379741837934e-09,-1.3413393376365086e-09,-4.75095787178215e-08,1.0787719111715811e-07,-8.197155688034577e-08,-4.858237596868055e-08
-1.4818136639327152e-07,-2.906782219552537e-08,-1.7492397038197388e-07,-1.0872538499479069e-07,-2.7235449107339065e-09,9.673265188207536e-09,-1.566160359739163e-07,-1.809146965567847e-08,-1.4168696163658563e-07,-1.549460294890426e-07,-8.998155171707507e-08,-8.998245445202782e-08,-7.698427394742135e-08,-5.8688986767275715e-08,-9.864582262892094e-08,9.620532973003259e-08,-1.6108051981714178e-07,-1.0781454302791087e-07
-2.3874867952519533e-07,-6.840026923590111e-08,-2.2227540040595837e-07,-1.589989026555735e-07,-2.0312625946320344e-08,-4.229857516218179e-08,-3.572569359260462e-07,-6.11050809279736e-08,-2.1483088469142254e-07,-2.663818934916356e-07,-1.3052427965305085e-07,-1.5013242426434052e-07,-1.5335553092045734e-07,-1.1639373027309033e-07,-1.484789086576909e-07,5.3615723817812186e-08,-2.087255297440857e-07,-1.6460064753185982e-07
