0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-1.6465717278795828e-07,6.080377811160788e-10,-1.3117226519051945e-07,-2.1211253855404002e-07,-1.7223830946508077e-07,-1.0051990802399341e-07,-9.909867974864394e-08,-1.6066908978184145e-07,-1.0300363845491596e-07,-3.669319140950737e-08,-5.968110189936443e-08,-2.5018552124206195e-08,-1.402144368412151e-07,-1.0634539934984031e-07,-1.3723318502025254e-07,-1.5843557664317427e-07,-1.6026232984225376e-07,-1.0419803290803234e-07
-2.5289224147552754e-07,5.83051010632342e-08,-1.0752870399327919e-07,-1.786971322179851e-07,-8.998594320230336e-08,-7.20835963060976e-08,-8.21850596033612e-08,-1.329037370068706e-07,-5.928326001689466e-08,-1.2329123464771372e-08,-4.92620442764857e-08,-2.3577887990847827e-08,-6.371242939025265e-08,-9.626613598926567e-08,-1.0613648451729108e-07,-1.3997999271976528e-07,-1.2119077694861946e-07,-9.319406172554546e-08
-3.435238356298168e-07,1.0728845475885931e-07,-8.828779629606433e-08,-1.4647230962615823e-07,-2.1132250050948807e-08,-5.076364108423757e-08,-6.870152687421244e-08,-1.1007263917108837e-07,-1.9768932904066496e-08,1.0314957523204284e-08,-3.601902281828097e-08,-2.4818675281121915e-08,1.2385498373096514e-08,-8.54106621200614e-08,-7.626944516325704e-08,-1.2723862301394084e-07,-8.661515850925844e-08,-8.25765408639359e-08
-4.3957779175242276e-07,1.3709057564197775e-07,-7.43365222568097e-08,-1.1694929217792898e-07,3.590219686756235e-08,-3.7140476484055195e-08,-5.7193763971104735e-08,-9.186622813679226e-08,1.3459577160444839e-08,3.1818613333802054e-08,-2.215111067212898e-08,-2.7962576027415354e-08,7.699014675362226e-08,-7.514878067515726e-08,-4.793854435640059e-08,-1.1603263843548934e-07,-5.870969834155557e-08,-7.201534459117482e-08
-5.264401154571387e-07,1.3537324134299904e-07,-6.483371665453022e-08,-9.033471685894276e-08,8.458875385432693e-08,-2.9847217475202936e-08,-4.579014750180571e-08,-7.644009791524654e-08,3.87806712889919e-08,5.1687246011767164e-08,-1.1081790880182427e-08,-3.173927813978534e-08,1.2121277274290693e-07,-6.618219946023113e-08,-2.21020585853705e-08,-1.0183158110805273e-07,-3.8380356407655965e-08,-6.110615422653554e-08
-5.933573974502946e-07,9.051873018402436e-08,-5.7311858711827316e-08,-6.58133235176444e-08,1.2570849415865797e-07,-2.682265132073782e-08,-3.33836590265263e-08,-6.177588401181104e-08,5.4517588226580916e-08,6.730736004383543e-08,-3.3698562140014615e-09,-3.5161968966143565e-08,1.3951303290605288e-07,-5.8993470688229796e-08,-1.2438384135669755e-09,-8.199695119412404e-08,-2.558862771256075e-08,-4.993314547021091e-08
-6.190740378925007e-07,4.5394363315949016e-08,-4.834985014246111e-08,-4.204959089497568e-08,1.565788555036826e-07,-2.5978253278221988e-08,-2.0068162483676933e-08,-4.616259292331442e-08,5.913157316161597e-08,7.50383804578624e-08,9.41028486636764e-10,-3.7182036225765614e-08,1.3038392117853683e-07,-5.274022385371926e-08,1.2038740394549101e-08,-5.5886643391420494e-08,-1.9320014086406163e-08,-3.870853566707517e-08
-4.912091189763574e-07,2.0717387005576905e-08,-3.4474828894430166e-08,-1.746584254790783e-08,1.7278538451496256e-07,-2.4872022642581547e-08,-6.345191411317796e-09,-2.8027718665592442e-08,5.229403219325879e-08,7.034184190402899e-08,2.7030204601926173e-09,-3.706156011579685e-08,9.700462824375738e-08,-4.465664888964902e-08,1.661848519269319e-08,-2.406997095061674e-08,-1.719093474242251e-08,-2.7200809638589787e-08
-3.335339232231112e-07,1.6097024577830362e-09,-1.356967587395329e-08,9.157493343101464e-09,1.6889207356892358e-07,-2.0821005730548808e-08,7.3582711242447605e-09,-6.483749460310906e-09,3.559944304151289e-08,5.418145841702875e-08,4.2232105108246246e-09,-3.3626187315573245e-08,4.738835618455627e-08,-3.1648618203388504e-08,1.3477104309373095e-08,1.147348528741678e-08,-1.569096413622596e-08,-1.473879340940787e-08
-2.147118843435851e-07,-1.1810808273810353e-08,1.3817565538688081e-08,3.789907247677659e-08,1.410005208872454e-07,-1.1792019278698715e-08,2.0576866503049165e-08,1.8082986306601885e-08,1.2694940265435843e-08,2.808089627244258e-08,6.801729902932364e-09,-2.575956118071679e-08,-6.819766545808552e-09,-1.1739180641493853e-08,6.212214632033855e-09,4.751975625267549e-08,-1.0679018929425376e-08,-2.870631594335687e-10
